time,system|rainfall,link|P1|flow,link|P2|flow,link|42722|flow,link|20945|flow,link|21854|flow,link|325|flow,link|12660|flow,link|21823|flow,link|20648|flow,link|20647|flow,link|21822|flow,link|21792|flow,link|21796|flow,link|21788|flow,node|J03260054|depth,node|J03262001|depth,node|J03260051|depth,node|J03262031|depth,node|J03260048|depth,node|J03260041|depth,node|J03261014|depth,node|J03260033|depth,node|J03260038|depth,node|J03261009|depth,node|J03235003|depth,node|J03263052|depth,node|J03260029|depth,node|J03260026|depth,node|J03263039|depth,node|J03411080|depth,node|J03263058|depth,node|J03235002|depth,node|J03190142|depth,node|J03190161|depth,node|J03411020|depth,node|J03190164|depth,node|J03380238|depth,node|J03260559|depth,pump|P1|status,pump|P2|status
2026-05-11 05:50:00,0.0,2.0,57.75,-48.242977,37.30604,25.523947,25.509102,22.898327,23.016043,22.646152,22.645636,22.891722,22.754164,22.83519,22.79523,1.9223995,1.8526974,1.8214055,1.752106,1.722341,1.5924578,1.3829104,1.3826743,1.3724813,1.3629193,1.3171672,1.3128432,1.2927263,1.2828177,1.2628468,1.2329237,1.2228578,1.2171701,1.0999799,1.0917022,1.0729405,1.0717043,1.0616893,1.0528492,1,1
2026-05-11 06:00:00,0.0,4.0,57.75,-47.517857,37.311543,25.534487,25.487022,22.911556,22.43488,22.832996,22.8758,22.672308,22.922386,22.922388,22.869572,1.9233898,1.8523962,1.822748,1.7535429,1.7223521,1.592471,1.3822443,1.3827208,1.3728522,1.3622708,1.3171706,1.3128616,1.2926052,1.2824327,1.2628365,1.2328726,1.2228502,1.2171731,1.09998,1.0916992,1.0729021,1.0716993,1.0616976,1.0528511,1,1
2026-05-11 06:10:00,0.0,4.0,57.75,-48.65385,37.3019,25.520615,25.496891,22.837093,22.860018,22.92321,22.955332,22.883837,22.840124,22.738811,22.819258,1.9210992,1.8527324,1.8220165,1.7529566,1.723648,1.5926031,1.3825216,1.3824868,1.37244,1.3625417,1.3171636,1.3128606,1.2925637,1.282616,1.262857,1.2328615,1.2228372,1.2171637,1.0999798,1.0917441,1.0728954,1.0717487,1.0617167,1.0528506,1,1
2026-05-11 06:20:00,0.0,2.0,57.75,-48.256226,37.303337,25.516602,25.506319,22.875307,22.95112,22.82685,22.640245,22.978527,22.686983,22.76978,22.775354,1.9220672,1.8526747,1.821354,1.7522593,1.7222246,1.5924402,1.3828979,1.3826209,1.3724954,1.3629054,1.3171647,1.3128355,1.2926779,1.2827823,1.2628597,1.2328469,1.2227969,1.2171671,1.0999795,1.0917425,1.0728005,1.0717789,1.0616877,1.052858,1,1
2026-05-11 06:30:00,0.0,2.0,57.75,-47.468864,37.29268,25.513184,25.539879,23.25462,22.701704,22.70235,22.834557,22.526882,22.890339,22.92621,22.841738,1.9231616,1.8523765,1.8227743,1.7535635,1.7224803,1.5924675,1.3823376,1.3827096,1.3728392,1.3623128,1.3171663,1.3128548,1.2926074,1.2824243,1.2628413,1.2328146,1.2228384,1.2171593,1.0999795,1.0916469,1.0728613,1.0716422,1.0616547,1.0528542,1,1
2026-05-11 06:40:00,0.0,2.0,57.75,-48.827965,37.279022,25.504776,25.531588,22.82328,22.844296,22.88552,22.9385,22.864529,22.916557,22.802683,22.849201,1.9207178,1.8527213,1.8222644,1.7528139,1.7238864,1.5926108,1.3826078,1.3825066,1.3724177,1.3626022,1.317165,1.3128384,1.2925245,1.2825794,1.262864,1.2328583,1.222823,1.2171608,1.0999794,1.0917001,1.0727974,1.0716954,1.0617323,1.0528231,1,1
2026-05-11 06:50:00,0.0,4.0,57.75,-48.231773,37.299927,25.532711,25.507973,22.857428,22.887987,22.943157,22.755514,22.93927,22.677301,22.717663,22.770922,1.9218714,1.852651,1.8212618,1.7524588,1.7220716,1.5924261,1.3829323,1.3825486,1.3725119,1.3629252,1.3171607,1.3128407,1.2926533,1.2827743,1.2628428,1.2328734,1.2228656,1.2171615,1.0999794,1.0916917,1.0729069,1.0717032,1.0616499,1.0528582,1,1
2026-05-11 07:00:00,0.0,2.0,57.75,-47.489346,37.305294,25.525393,25.509832,22.940096,22.978088,22.581774,22.735634,22.673649,22.816359,22.878628,22.80317,1.9226786,1.8523577,1.8229544,1.7534885,1.7227137,1.5924673,1.3823068,1.3827257,1.3728235,1.3623217,1.3171619,1.3128419,1.2926021,1.2824609,1.2628206,1.23289,1.2228237,1.2171652,1.0999793,1.0916628,1.0728718,1.0716591,1.0616895,1.0528541,1,1
2026-05-11 07:10:00,0.0,4.0,57.75,-48.94677,37.295895,25.528627,25.491358,21.824928,22.560856,22.863972,22.896933,22.836544,22.93232,22.874365,22.862803,1.9205942,1.8527199,1.8223529,1.7527373,1.7240055,1.5926174,1.3825377,1.3825103,1.3723971,1.3625376,1.3171571,1.3128301,1.2925276,1.2825421,1.2628391,1.2329352,1.2228781,1.217162,1.0999792,1.0917162,1.0729476,1.0717154,1.0617223,1.052845,1,1
2026-05-11 07:20:00,0.0,2.0,57.75,-48.22406,37.29897,25.52427,25.497257,22.849995,22.870148,22.95509,22.901766,22.90209,22.745354,22.71156,22.788568,1.9214587,1.8526206,1.8212649,1.7526535,1.7219844,1.5924171,1.3828561,1.3825456,1.3725203,1.362871,1.3171577,1.3128445,1.2926466,1.282744,1.2628267,1.2329284,1.222869,1.2171612,1.0999789,1.0916963,1.072902,1.0716989,1.0616684,1.0528425,1,1
